"Year","OSHPD ID","Facility Name","County Name","ER Service Level Desc","Type","Count"
2013,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Admit",1834
2013,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Visit",17696
2014,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Admit",1826
2014,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Visit",18813
2015,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Admit",1943
2015,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Visit",20422
2016,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Admit",1860
2016,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Visit",22002
2017,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Admit",1887
2017,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Visit",21986
2018,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Admit",1926
2018,106034002,"SUTTER AMADOR HOSPITAL","AMADOR","BASIC","ED_Visit",20806
2013,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Admit",536
2013,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Visit",5623
2014,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Admit",497
2014,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Visit",6489
2015,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Admit",440
2015,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Visit",6907
2016,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Admit",86
2016,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Visit",2118
2017,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Admit",34
2017,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Visit",0
2018,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Admit",570
2018,106060870,"COLUSA MEDICAL CENTER","COLUSA","STANDBY","ED_Visit",6308
2013,106070904,"DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","BASIC","ED_Admit",4922
2013,106070904,"DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","BASIC","ED_Visit",35462
2014,106070904,"DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","BASIC","ED_Admit",3310
2014,106070904,"DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","BASIC","ED_Visit",32407
2015,106070904,"DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","BASIC","ED_Admit",388
2015,106070904,"DOCTORS MEDICAL CENTER - SAN PABLO","CONTRA COSTA","BASIC","ED_Visit",9343
2013,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",6419
2013,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",52258
2014,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",6392
2014,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",50528
2015,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",5577
2015,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",49941
2016,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",5297
2016,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",47786
2017,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",4666
2017,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",44080
2018,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",4346
2018,106070924,"CONTRA COSTA REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",40356
2013,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",6255
2013,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",45493
2014,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",6329
2014,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",48630
2015,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",6728
2015,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",52331
2016,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",5926
2016,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",53500
2017,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",6211
2017,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",50621
2018,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",6316
2018,106070934,"SUTTER DELTA MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",46290
2013,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Admit",9894
2013,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Visit",35769
2014,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Admit",9968
2014,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Visit",35438
2015,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Admit",11307
2015,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Visit",38978
2016,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Admit",11463
2016,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Visit",41223
2017,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Admit",12832
2017,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Visit",42776
2018,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Admit",12525
2018,106070988,"JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS","CONTRA COSTA","BASIC","ED_Visit",41783
2013,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Admit",8247
2013,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Visit",45981
2014,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Admit",7513
2014,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Visit",47615
2015,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Admit",8736
2015,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Visit",51325
2016,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Admit",6673
2016,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Visit",53657
2017,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Admit",6870
2017,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Visit",55558
2018,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Admit",6878
2018,106070990,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","CONTRA COSTA","BASIC","ED_Visit",58212
2013,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Admit",6355
2013,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Visit",44210
2014,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Admit",6621
2014,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Visit",46126
2015,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Admit",7967
2015,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Visit",52538
2016,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Admit",7941
2016,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Visit",52425
2017,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Admit",8429
2017,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Visit",51362
2018,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Admit",8704
2018,106071018,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","CONTRA COSTA","BASIC","ED_Visit",51009
2013,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",2609
2013,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",14300
2014,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",2769
2014,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",14461
2015,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",2982
2015,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",15218
2016,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",2774
2016,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",15627
2017,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",2873
2017,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",16339
2018,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Admit",2897
2018,106074017,"SAN RAMON REGIONAL MEDICAL CENTER","CONTRA COSTA","BASIC","ED_Visit",16286
2013,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Admit",4206
2013,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Visit",38639
2014,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Admit",3959
2014,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Visit",41963
2015,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Admit",4160
2015,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Visit",49341
2016,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Admit",3803
2016,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Visit",52713
2017,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Admit",3954
2017,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Visit",56414
2018,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Admit",4020
2018,106074097,"KAISER FOUNDATION HOSPITAL - ANTIOCH","CONTRA COSTA","BASIC","ED_Visit",58639
2013,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Admit",1363
2013,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Visit",17054
2014,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Admit",1325
2014,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Visit",17094
2015,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Admit",1218
2015,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Visit",18420
2016,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Admit",1182
2016,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Visit",18808
2017,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Admit",1320
2017,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Visit",18070
2018,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Admit",1455
2018,106090793,"BARTON MEMORIAL HOSPITAL","EL DORADO","BASIC","ED_Visit",17630
2013,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Admit",4000
2013,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Visit",22373
2014,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Admit",3711
2014,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Visit",24232
2015,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Admit",4165
2015,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Visit",25154
2016,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Admit",4177
2016,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Visit",24417
2017,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Admit",3826
2017,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Visit",23838
2018,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Admit",3976
2018,106090933,"MARSHALL MEDICAL CENTER","EL DORADO","BASIC","ED_Visit",26744
2013,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Admit",5586
2013,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Visit",39862
2014,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Admit",6048
2014,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Visit",45366
2015,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Admit",6952
2015,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Visit",53668
2016,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Admit",7672
2016,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Visit",55074
2017,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Admit",7851
2017,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Visit",56273
2018,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Admit",8359
2018,106100005,"CLOVIS COMMUNITY MEDICAL CENTER","FRESNO","BASIC","ED_Visit",55666
2013,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Admit",262
2013,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Visit",7622
2014,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Admit",177
2014,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Visit",8399
2015,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Admit",165
2015,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Visit",8865
2016,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Admit",124
2016,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Visit",8975
2017,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Admit",126
2017,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Visit",8844
2018,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Admit",59
2018,106100697,"COALINGA REGIONAL MEDICAL CENTER","FRESNO","STANDBY","ED_Visit",2855
2013,106100717,"COMMUNITY REGIONAL MEDICAL CENTER-FRESNO","FRESNO","COMPREHENSIVE","ED_Admit",23841
2013,106100717,"COMMUNITY REGIONAL MEDICAL CENTER-FRESNO","FRESNO","COMPREHENSIVE","ED_Visit",84018
2014,106100717,"COMMUNITY REGIONAL MEDICAL CENTER-FRESNO","FRESNO","COMPREHENSIVE","ED_Admit",24442
2014,106100717,"COMMUNITY REGIONAL MEDICAL CENTER-FRESNO","FRESNO","COMPREHENSIVE","ED_Visit",83026
2015,106100717,"COMMUNITY REGIONAL MEDICAL CENTER-FRESNO","FRESNO","COMPREHENSIVE","ED_Admit",24997
2015,106100717,"COMMUNITY REGIONAL MEDICAL CENTER-FRESNO","FRESNO","COMPREHENSIVE","ED_Visit",81749
2016,106100717,"COMMUNITY REGIONAL MEDICAL CENTER-FRESNO","FRESNO","COMPREHENSIVE","ED_Admit",24278
