"","Male","Female","p","test"
"n"," 5003"," 5172","",""
"Age (mean (SD))","30.69 (24.39)","32.25 (24.43)"," 0.001",""
"Race (%)"," "," "," 0.317",""
"   Mexican American","  833 (16.7) ","  897 (17.3) ","",""
"   Other Hispanic","  449 ( 9.0) ","  511 ( 9.9) ","",""
"   Non-Hispanic White"," 1811 (36.2) "," 1863 (36.0) ","",""
"   Non-Hispanic Black"," 1152 (23.0) "," 1115 (21.6) ","",""
"   Non-Hispanic Asian","  521 (10.4) ","  553 (10.7) ","",""
"   Other Race - Including Multi-Rac","  237 ( 4.7) ","  233 ( 4.5) ","",""
"Education (%)"," "," ","<0.001",""
"   Less than 9th grade","  230 ( 8.3) ","  225 ( 7.5) ","",""
"   9-11th grade (Includes 12th grad","  393 (14.2) ","  398 (13.2) ","",""
"   High school graduate/GED or equi","  665 (24.1) ","  638 (21.2) ","",""
"   Some college or AA degree","  754 (27.3) "," 1016 (33.7) ","",""
"   College graduate or above","  713 (25.9) ","  730 (24.2) ","",""
"   Refused","    0 ( 0.0) ","    2 ( 0.1) ","",""
"   Don't Know","    3 ( 0.1) ","    2 ( 0.1) ","",""
